縣市代碼,縣市名稱,鄉鎮市區代碼,鄉鎮市區名稱,性比例,戶量,人口密度,扶養比,扶幼比,扶老比,老化指數,資料時間
10010,嘉義縣,10010150,梅山鄉,113.52,2.74,154.6,48.29,11.6,36.69,316.37,110Y06M
10010,嘉義縣,10010160,番路鄉,116.09,2.62,94.52,41.97,10.85,31.12,286.81,110Y06M
10010,嘉義縣,10010170,大埔鄉,104.49,2.35,26.31,38.88,12.46,26.42,211.98,110Y06M
10010,嘉義縣,10010180,阿里山鄉,110.93,2.9,12.76,40.78,17.04,23.74,139.33,110Y06M
10013,屏東縣,10013010,屏東市,96.96,2.62,3025.17,40.75,16.36,24.39,149.11,110Y06M
10013,屏東縣,10013020,潮州鎮,98.95,2.66,1269.22,38.16,14.06,24.1,171.46,110Y06M
10013,屏東縣,10013030,東港鎮,101.69,2.71,1581.11,39.4,17.34,22.06,127.17,110Y06M
10013,屏東縣,10013040,恆春鎮,104.94,2.54,221.27,38.75,16.8,21.95,130.68,110Y06M
10013,屏東縣,10013050,萬丹鄉,107.49,3.2,869.81,39.23,14.92,24.31,162.88,110Y06M
10013,屏東縣,10013060,長治鄉,107.77,2.82,736.2,36.59,11.45,25.14,219.63,110Y06M
10013,屏東縣,10013070,麟洛鄉,106.85,2.75,659.35,41.91,10.24,31.66,309.04,110Y06M
10013,屏東縣,10013080,九如鄉,105.44,2.97,518.89,37.5,13.45,24.05,178.76,110Y06M
10013,屏東縣,10013090,里港鄉,102.94,3.08,372.66,42.2,16.33,25.87,158.46,110Y06M
10013,屏東縣,10013100,鹽埔鄉,107.59,3.12,385.77,37.83,12.43,25.41,204.47,110Y06M
10013,屏東縣,10013110,高樹鄉,113.1,2.57,261.91,48.39,11.42,36.97,323.78,110Y06M
10013,屏東縣,10013120,萬巒鄉,108.08,3.05,330.22,44.57,14.27,30.31,212.43,110Y06M
10013,屏東縣,10013130,內埔鄉,105.54,2.77,647.21,38.78,11.44,27.33,238.9,110Y06M
10013,屏東縣,10013140,竹田鄉,113.51,2.89,564.88,41.93,9.97,31.96,320.45,110Y06M
10013,屏東縣,10013150,新埤鄉,114.08,2.77,160.5,42.68,9.26,33.41,360.65,110Y06M
10013,屏東縣,10013160,枋寮鄉,109.31,2.71,407.09,43.29,12.23,31.06,253.99,110Y06M
10013,屏東縣,10013170,新園鄉,107.8,2.83,878.91,35.72,10.69,25.03,234.29,110Y06M
10013,屏東縣,10013180,崁頂鄉,101.09,3.36,487.66,54.28,28.15,26.13,92.81,110Y06M
10013,屏東縣,10013190,林邊鄉,104.02,2.57,1099.26,46.56,13.28,33.28,250.64,110Y06M
